_row,anon_polygon_id,date,n16_c60_r125_k2,n16_c60_r125_k3,n16_c80_r125_k2,n16_c80_r125_k3,n12_c60_r125_k2,n8_c80_r125_k3
11776,AOI-0019,2025-05-14,0.64018546,0.63622262,0.64018546,0.63622262,0.64018546,0.63622262
11787,AOI-0019,2025-05-25,0.52603112,0.54595095,0.52603112,0.54595095,0.52603112,0.54595095
11808,AOI-0019,2025-06-15,0.37940831,0.36446311,0.37940831,0.36446311,0.37940831,0.36446311
11820,AOI-0019,2025-06-27,0.40634427,0.39349903,0.40634427,0.39349903,0.40634427,0.39349903
11823,AOI-0019,2025-06-30,0.34686566,0.33173063,0.34686566,0.33173063,0.34686566,0.33173063
11833,AOI-0019,2025-07-10,0.33698935,0.31590280,0.33698935,0.31590280,0.33698935,0.31590280
11837,AOI-0019,2025-07-14,0.29934798,0.30023789,0.29934798,0.30023789,0.29934798,0.30023789
11868,AOI-0019,2025-08-14,0.29439274,0.26578941,0.29439274,0.26578941,0.29439274,0.26578941
11885,AOI-0019,2025-08-31,0.21854449,0.22943883,0.21854449,0.22943883,0.21854449,0.22943883
11900,AOI-0019,2025-09-15,0.26398595,0.26782781,0.26398595,0.26782781,0.26398595,0.26782781
11908,AOI-0019,2025-09-23,0.28949390,0.29550235,0.28949390,0.29550235,0.28949390,0.29550235
11909,AOI-0019,2025-09-24,0.30090391,0.29661748,0.30090391,0.29661748,0.30090391,0.29661748
11933,AOI-0019,2025-10-18,0.26714512,0.27569232,0.26714512,0.27569232,0.26714512,0.27569232
11963,AOI-0020,2025-04-18,0.30400801,0.29836563,0.30400801,0.29836563,0.30400801,0.29836563
11968,AOI-0020,2025-04-23,0.61308147,0.58409259,0.61308147,0.58409259,0.61308147,0.58409259
11978,AOI-0020,2025-05-03,0.41206013,0.39670902,0.41206013,0.39670902,0.41206013,0.39670902
12009,AOI-0020,2025-06-03,0.64449385,0.58954969,0.64449385,0.64449385,0.64449385,0.64449385
12017,AOI-0020,2025-06-11,0.51819966,0.49231824,0.51819966,0.51819966,0.51819966,0.51819966
12048,AOI-0020,2025-07-12,0.39739515,0.38375515,0.39739515,0.38375515,0.39739515,0.38375515
12057,AOI-0020,2025-07-21,0.42843738,0.39618915,0.48620166,0.48620166,0.42843738,0.48620166
12065,AOI-0020,2025-07-29,0.32305766,0.31048019,0.33276694,0.33276694,0.32305766,0.33276694
12066,AOI-0020,2025-07-30,0.26583503,0.26334310,0.26583503,0.26334310,0.26583503,0.26334310
12086,AOI-0020,2025-08-19,0.23624617,0.24173452,0.23624617,0.24173452,0.23624617,0.24173452
12141,AOI-0020,2025-10-13,0.25332481,0.20981959,0.25332481,0.25332481,0.25332481,0.25332481
12186,AOI-0021,2025-04-28,0.38297563,0.41050823,0.38297563,0.41050823,0.38297563,0.41050823
12215,AOI-0021,2025-05-27,0.62471104,0.60700318,0.51548796,0.51548796,0.62471104,0.51548796
12222,AOI-0021,2025-06-03,0.61495035,0.60889789,0.61495035,0.58677852,0.61495035,0.58677852
12255,AOI-0021,2025-07-06,0.43737690,0.40444470,0.43737690,0.41243825,0.43737690,0.41243825
12267,AOI-0021,2025-07-18,0.29815450,0.28513599,0.29815450,0.28513599,0.29815450,0.28513599
12278,AOI-0021,2025-07-29,0.31870068,0.31678052,0.33236293,0.33236293,0.31870068,0.33236293
12287,AOI-0021,2025-08-07,0.25636950,0.25499096,0.25636950,0.23848871,0.25636950,0.23848871
12302,AOI-0021,2025-08-22,0.25263538,0.25135883,0.25263538,0.25152426,0.25263538,0.25152426
12310,AOI-0021,2025-08-30,0.26222747,0.26452258,0.26222747,0.25804142,0.26222747,0.25804142
12326,AOI-0021,2025-09-15,0.21599395,0.22739325,0.21599395,0.22844937,0.21599395,0.22844937
12335,AOI-0021,2025-09-24,0.25422382,0.26446194,0.25422382,0.26699239,0.25422382,0.26699239
12344,AOI-0021,2025-10-03,0.22718498,0.23906458,0.22718498,0.22661546,0.22718498,0.22661546
12372,AOI-0022,2025-04-01,0.45221936,0.46652427,0.45221936,0.46652427,0.45221936,0.46652427
12404,AOI-0022,2025-05-03,0.87479169,0.87884504,0.87479169,0.87884504,0.87479169,0.87884504
12407,AOI-0022,2025-05-06,0.90561609,0.90022674,0.90561609,0.90022674,0.90561609,0.90022674
12426,AOI-0022,2025-05-25,0.81323293,0.80129391,0.81323293,0.80129391,0.81323293,0.80129391
12429,AOI-0022,2025-05-28,0.76228790,0.77022347,0.76228790,0.77022347,0.76228790,0.77022347
12470,AOI-0022,2025-07-08,0.21997365,0.20469235,0.21997365,0.20469235,0.21997365,0.20469235
12479,AOI-0022,2025-07-17,0.13129300,0.12781907,0.13129300,0.12781907,0.13129300,0.12781907
12483,AOI-0022,2025-07-21,0.22048164,0.22791964,0.22048164,0.22791964,0.22048164,0.22791964
12520,AOI-0022,2025-08-27,0.15128602,0.14933523,0.15128602,0.14933523,0.15128602,0.14933523
12524,AOI-0022,2025-08-31,0.19465907,0.19361029,0.19465907,0.19361029,0.19465907,0.19361029
12547,AOI-0022,2025-09-23,0.17936690,0.16792958,0.17936690,0.16792958,0.17936690,0.16792958
12548,AOI-0022,2025-09-24,0.19722115,0.20312458,0.19722115,0.20312458,0.19722115,0.20312458
12554,AOI-0022,2025-09-30,0.26597550,0.28541652,0.26597550,0.28541652,0.26597550,0.28541652
12600,AOI-0023,2025-04-16,0.30960090,0.29011240,0.30960090,0.29011240,0.30960090,0.29011240
12601,AOI-0023,2025-04-17,0.27768837,0.26018047,0.27768837,0.26018047,0.27768837,0.26018047
12608,AOI-0023,2025-04-24,0.28738418,0.28738418,0.28738418,0.28738418,0.28738418,0.28738418
12615,AOI-0023,2025-05-01,0.25693343,0.24190262,0.25693343,0.24190262,0.25693343,0.24190262
12618,AOI-0023,2025-05-04,0.26270289,0.24288134,0.26270289,0.24288134,0.26270289,0.24288134
12672,AOI-0023,2025-06-27,0.78987825,0.72755503,0.78987825,0.72755503,0.78987825,0.72755503
12680,AOI-0023,2025-07-05,0.57650957,0.60906328,0.57650957,0.60906328,0.57650957,0.60906328
12689,AOI-0023,2025-07-14,0.37790837,0.39431822,0.46871287,0.46871287,0.37790837,0.46871287
12690,AOI-0023,2025-07-15,0.16721099,0.16721099,,,0.16721099,
12720,AOI-0023,2025-08-14,0.22770875,0.20038278,0.22770875,0.20038278,0.22770875,0.20038278
12728,AOI-0023,2025-08-22,0.14761787,0.14972680,0.14761787,0.14972680,0.14761787,0.14972680
12736,AOI-0023,2025-08-30,0.19547817,0.18927589,0.19547817,0.18927589,0.19547817,0.18927589
12758,AOI-0023,2025-09-21,0.15005498,0.12942011,0.15005498,0.12942011,0.15005498,0.12942011
12760,AOI-0023,2025-09-23,0.19390577,0.17523089,0.19390577,0.17523089,0.19390577,0.17523089
12784,AOI-0023,2025-10-17,0.21490694,0.21221799,0.21490694,0.21221799,0.21490694,0.21221799
12804,AOI-0024,2025-04-07,0.26036712,0.27839213,0.26036712,0.28879781,0.26036712,0.28879781
12820,AOI-0024,2025-04-23,0.25836660,0.24816534,0.25836660,0.27748265,0.25836660,0.27748265
12852,AOI-0024,2025-05-25,0.45463080,0.39038549,0.45463080,0.42813446,0.45463080,0.42813446
12855,AOI-0024,2025-05-28,0.24910837,0.30143017,0.23998758,0.23998758,0.24910837,0.23998758
12863,AOI-0024,2025-06-05,0.36170886,0.39603183,0.39763673,0.39763673,0.36170886,0.39763673
12891,AOI-0024,2025-07-03,0.46588964,0.43165061,0.52382921,0.52382921,0.46588964,0.52382921
12909,AOI-0024,2025-07-21,0.40629360,0.37734983,0.40629360,0.40629360,0.40629360,0.40629360
12913,AOI-0024,2025-07-25,0.35864380,0.31953416,,,0.35864380,
12925,AOI-0024,2025-08-06,0.30804092,0.28572078,0.30040818,0.30040818,0.30804092,0.30040818
12928,AOI-0024,2025-08-09,0.21872053,0.22817181,0.21872053,0.22543842,0.21872053,0.22543842
12964,AOI-0024,2025-09-14,0.25031196,0.24909298,0.25031196,0.24909298,0.25031196,0.24909298
12971,AOI-0024,2025-09-21,0.17302193,0.17975816,0.17302193,0.16930015,0.17302193,0.16930015
12980,AOI-0024,2025-09-30,0.23675819,0.22978556,0.23675819,0.24221804,0.23675819,0.24221804
12982,AOI-0024,2025-10-02,0.22890510,0.22955173,0.23582677,0.23582677,0.22890510,0.23582677
12998,AOI-0024,2025-10-18,0.20517642,0.20435153,0.20659886,0.20659886,0.20517642,0.20659886
13013,AOI-0025,2025-04-14,,,,,,
13015,AOI-0025,2025-04-23,0.25918320,0.24647440,,,0.25918320,
13016,AOI-0025,2025-04-24,,,,,,
13017,AOI-0025,2025-04-29,,,,,,
13020,AOI-0025,2025-05-09,0.36865163,0.36525592,,,0.40650794,
13024,AOI-0025,2025-06-03,,,,,,
13028,AOI-0025,2025-06-13,0.27799973,0.27811241,,,0.27799973,
13030,AOI-0025,2025-06-27,0.17460633,0.17754829,,,0.17859855,
13037,AOI-0025,2025-07-21,,,,,,
13043,AOI-0025,2025-08-07,0.22034237,0.22034237,,,0.22034237,
13051,AOI-0025,2025-08-30,,,,,,
13053,AOI-0025,2025-09-07,,,,,,
13056,AOI-0025,2025-09-14,0.26498586,0.25715708,,,0.26498586,
13063,AOI-0025,2025-10-17,,,,,,
13071,AOI-0026,2025-04-07,0.79070019,0.77705471,0.79070019,0.77705471,0.79070019,0.77705471
13088,AOI-0026,2025-04-24,0.82096914,0.78898309,0.82096914,0.78898309,0.82096914,0.78898309
13103,AOI-0026,2025-05-09,0.90072309,0.88688428,0.90072309,0.88688428,0.90072309,0.88688428
13138,AOI-0026,2025-06-13,0.41267865,0.46771720,0.41267865,0.46771720,0.41267865,0.46771720
13163,AOI-0026,2025-07-08,0.19593630,0.20518626,0.19593630,0.20518626,0.19593630,0.20518626
13165,AOI-0026,2025-07-10,0.16422754,0.17028355,0.16422754,0.17028355,0.16422754,0.17028355
13167,AOI-0026,2025-07-12,0.24411499,0.25370849,0.24411499,0.25370849,0.24411499,0.25370849
13168,AOI-0026,2025-07-13,0.14390257,0.15488628,0.14390257,0.15488628,0.14390257,0.15488628
13173,AOI-0026,2025-07-18,0.13190254,0.14246300,0.13190254,0.14246300,0.13190254,0.14246300
13185,AOI-0026,2025-07-30,0.13342136,0.13525018,0.13342136,0.13525018,0.13342136,0.13525018
13205,AOI-0026,2025-08-19,0.14314409,0.13279718,0.14314409,0.13279718,0.14314409,0.13279718
13225,AOI-0026,2025-09-08,0.11095754,0.13796726,0.11095754,0.13796726,0.11095754,0.13796726
13240,AOI-0026,2025-09-23,0.17619606,0.19068325,0.17619606,0.19068325,0.17619606,0.19068325
13247,AOI-0026,2025-09-30,0.29354236,0.29648330,0.29354236,0.29648330,0.29354236,0.29648330
13281,AOI-0027,2025-04-16,0.59354960,0.59703490,0.59354960,0.59703490,0.59354960,0.59703490
13284,AOI-0027,2025-04-24,0.77508163,0.79256734,0.77508163,0.79256734,0.77508163,0.79256734
13295,AOI-0027,2025-06-13,0.42136599,0.42851895,0.42136599,0.42851895,0.42136599,0.42851895
13297,AOI-0027,2025-06-27,0.47278341,0.43316127,0.47278341,0.43316127,0.47278341,0.43316127
13298,AOI-0027,2025-07-05,0.30729945,0.33041268,0.30729945,0.33041268,0.30729945,0.33041268
13301,AOI-0027,2025-07-12,0.37037692,0.36550441,0.37037692,0.36550441,0.37037692,0.36550441
13302,AOI-0027,2025-07-13,0.28720948,0.28005712,0.28720948,0.28005712,0.28720948,0.28005712
13305,AOI-0027,2025-07-23,0.27416697,0.27033839,0.27416697,0.27033839,0.27416697,0.27033839
13307,AOI-0027,2025-07-29,0.31387762,0.30919157,0.31387762,0.30919157,0.31387762,0.30919157
13314,AOI-0027,2025-08-19,0.25061498,0.25207436,0.25061498,0.25207436,0.25061498,0.25207436
13318,AOI-0027,2025-08-30,0.28771383,0.28961486,0.28771383,0.28961486,0.28771383,0.28961486
13324,AOI-0027,2025-09-16,0.27876872,0.26993032,0.27876872,0.26993032,0.27876872,0.26993032
13329,AOI-0027,2025-10-16,0.36949626,0.35732004,0.36949626,0.35732004,0.36949626,0.35732004
13338,AOI-0028,2010-04-07,,,,,0.53729299,0.60291954
13346,AOI-0028,2010-04-15,,,,,0.68033141,0.68033141
13538,AOI-0028,2010-10-24,,,,,0.16031413,0.16031413
13599,AOI-0028,2011-05-25,0.60069775,0.60069775,0.60069775,0.60069775,0.60069775,0.56887442
13663,AOI-0028,2011-07-28,0.57211326,0.57211326,0.57211326,0.57211326,0.57211326,0.59885933
13674,AOI-0028,2011-08-08,0.59950154,0.59950154,0.59950154,0.59950154,0.59950154,0.59950154
13738,AOI-0028,2011-10-11,,,,,,
13779,AOI-0028,2012-04-22,0.64408772,0.64408772,0.64408772,0.64408772,0.76751678,0.77019307
13937,AOI-0028,2012-09-27,,,,,0.12139914,0.12139914
13955,AOI-0028,2012-10-15,0.29088966,0.29088966,0.29088966,0.29088966,0.29088966,0.28370751
13977,AOI-0028,2013-04-07,,,,,,
14041,AOI-0028,2013-06-10,,,,,,
14057,AOI-0028,2013-06-26,,,,,,
14121,AOI-0028,2013-08-29,,,,,,
14190,AOI-0028,2014-04-07,0.70894551,0.70894551,0.70894551,0.70894551,0.70894551,0.68694326
14217,AOI-0028,2014-05-04,0.92463521,0.92463521,0.92463521,0.92463521,0.92463521,0.92463521
14302,AOI-0028,2014-07-28,0.42583024,0.42583024,0.42583024,0.42583024,0.42583024,0.28854442
14377,AOI-0028,2014-10-11,0.15174645,0.15174645,0.15174645,0.15174645,0.15174645,0.15174645
14409,AOI-0028,2015-04-13,,,,,,
14545,AOI-0028,2015-08-27,,,,,,
14577,AOI-0028,2015-09-28,,,,,,
14616,AOI-0028,2016-04-07,0.59080175,0.59080175,0.59080175,0.59080175,0.59080175,0.59080175
14632,AOI-0028,2016-04-23,0.77857991,0.77857991,0.77857991,0.77857991,0.77857991,0.77857991
14679,AOI-0028,2016-06-09,0.69533249,0.69533249,0.69533249,0.69533249,0.69533249,0.70768448
14680,AOI-0028,2016-06-10,0.79500138,0.79500138,0.79500138,0.79500138,0.79500138,0.79500138
14695,AOI-0028,2016-06-25,0.40294968,0.40294968,0.40294968,0.40294968,0.40294968,0.37338172
14727,AOI-0028,2016-07-27,0.22699096,0.22699096,0.22699096,0.22699096,0.22699096,0.27186125
14768,AOI-0028,2016-09-06,0.16099141,0.16099141,0.16099141,0.16099141,0.16099141,0.16099141
14848,AOI-0028,2017-04-26,,,,,,
14936,AOI-0028,2017-07-23,,,,,,
14953,AOI-0028,2017-08-09,,,,,,
14957,AOI-0028,2017-08-13,,,,,0.21198811,0.21198811
14973,AOI-0028,2017-08-29,,,,,0.27371546,0.27371546
14992,AOI-0028,2017-09-17,,,,,0.28810757,0.28810757
15076,AOI-0028,2018-05-11,0.92795248,0.92795248,0.92795248,0.92795248,0.92795248,0.92795248
15176,AOI-0028,2018-08-19,0.36679561,0.36679561,0.36679561,0.36679561,0.36679561,0.36679561
15186,AOI-0028,2018-08-29,0.23610323,0.23170861,0.23610323,0.23170861,0.23610323,0.22709143
15200,AOI-0028,2018-09-12,0.15156498,0.15156498,0.15156498,0.15156498,0.15156498,0.15156498
15226,AOI-0028,2018-10-08,0.16114715,0.16416133,0.16114715,0.16416133,0.16114715,0.16416133
15254,AOI-0028,2019-04-06,,,,,,
15280,AOI-0028,2019-05-02,,,,,,
15303,AOI-0028,2019-05-25,,,,,,
15336,AOI-0028,2019-06-27,,,,,,
15379,AOI-0028,2019-08-09,,,,,,
15394,AOI-0028,2019-08-24,,,,,,
15448,AOI-0028,2019-10-17,,,,,,
15486,AOI-0028,2020-04-25,0.80540115,0.81050897,0.80540115,0.81050897,0.80540115,0.81050897
15495,AOI-0028,2020-05-04,0.76627538,0.80165126,0.76627538,0.80165126,0.76627538,0.80165126
15499,AOI-0028,2020-05-08,0.91911849,0.93305771,0.91911849,0.93305771,0.91911849,0.93305771
15521,AOI-0028,2020-05-30,0.83957520,0.84429755,0.83957520,0.84429755,0.83957520,0.84429755
15566,AOI-0028,2020-07-14,0.12902473,0.17244293,0.12902473,0.17244293,0.12902473,0.17244293
15586,AOI-0028,2020-08-03,0.10342054,0.14370038,0.10342054,0.14370038,0.10342054,0.14370038
15591,AOI-0028,2020-08-08,0.14768513,0.14768513,0.14768513,0.14768513,0.14768513,0.14768513
15616,AOI-0028,2020-09-02,0.17583789,0.16842057,0.17583789,0.16842057,0.17583789,0.16842057
15627,AOI-0028,2020-09-13,0.26591809,0.26020569,0.26591809,0.26020569,0.26591809,0.26020569
15749,AOI-0028,2021-06-14,0.46718081,0.46718081,0.46718081,0.46718081,0.46718081,0.46718081
15751,AOI-0028,2021-06-16,0.35376864,0.35376864,0.35376864,0.35376864,0.35376864,0.35376864
15759,AOI-0028,2021-06-24,0.71745781,0.71745781,0.71745781,0.71745781,0.71745781,0.71745781
15761,AOI-0028,2021-06-26,0.73318616,0.73318616,0.73318616,0.73318616,0.73318616,0.73318616
15789,AOI-0028,2021-07-24,0.76084034,0.76084034,0.76084034,0.76084034,0.76084034,0.76084034
15884,AOI-0028,2021-10-27,0.20005474,0.20005474,0.20005474,0.20005474,0.20005474,0.20005474
15894,AOI-0028,2022-04-07,0.67154230,0.63866068,0.67154230,0.63866068,0.67154230,0.65997842
15910,AOI-0028,2022-04-23,0.89181167,0.86743990,0.89181167,0.86743990,0.89181167,0.89240346
15957,AOI-0028,2022-06-09,0.81629025,0.81629025,0.81629025,0.81629025,0.81629025,0.81629025
15977,AOI-0028,2022-06-29,0.33305966,0.32090919,0.33305966,0.32090919,0.33305966,0.34766888
16006,AOI-0028,2022-07-28,0.33688193,0.29741797,0.33688193,0.29741797,0.33688193,0.30263082
16012,AOI-0028,2022-08-03,0.09255596,0.09255596,0.09255596,0.09255596,0.09255596,0.09255596
16017,AOI-0028,2022-08-08,0.22719001,0.20014582,0.22719001,0.20014582,0.22719001,0.22363289
16039,AOI-0028,2022-08-30,0.16528109,0.18872705,0.16528109,0.18872705,0.16528109,0.16281089
16071,AOI-0028,2022-10-01,0.18824557,0.18824557,0.18824557,0.18824557,0.19606772,0.19550628
16107,AOI-0028,2023-04-07,,,,,,
16111,AOI-0028,2023-04-11,,,,,,
16135,AOI-0028,2023-05-05,,,,,,
16139,AOI-0028,2023-05-09,,,,,,
16170,AOI-0028,2023-06-09,,,,,,
16228,AOI-0028,2023-08-06,,,,,,
16245,AOI-0028,2023-08-23,,,,,,
16251,AOI-0028,2023-08-29,,,,,,
16275,AOI-0028,2023-09-22,,,,,,
16277,AOI-0028,2023-09-24,,,,,,
16283,AOI-0028,2023-09-30,,,,,,
16350,AOI-0028,2024-05-07,0.92560267,0.92546555,0.92560267,0.92546555,0.92560267,0.92546555
16366,AOI-0028,2024-05-23,0.81851742,0.81851742,0.81851742,0.81851742,0.81851742,0.81851742
16367,AOI-0028,2024-05-24,0.88243904,0.87718677,0.88243904,0.87718677,0.85713018,0.84427558
16431,AOI-0028,2024-07-27,0.19367097,0.20126683,0.19367097,0.20126683,0.18068861,0.17657539
16438,AOI-0028,2024-08-03,0.22393493,0.20831477,0.22393493,0.20831477,0.22393493,0.20831477
16447,AOI-0028,2024-08-12,0.13260595,0.13825789,0.13260595,0.13825789,0.16562199,0.17841113
16477,AOI-0028,2024-09-11,0.13146492,0.12221723,0.13146492,0.12221723,0.13146492,0.12221723
16482,AOI-0028,2024-09-16,0.14465216,0.13641773,0.14465216,0.13641773,0.14465216,0.13641773
16533,AOI-0028,2025-04-07,0.45799696,0.43468717,0.45799696,0.42695119,0.48589526,0.42764740
16580,AOI-0028,2025-05-24,0.55226439,0.49743956,0.55226439,0.49743956,0.55226439,0.49743956
16587,AOI-0028,2025-05-31,0.20012813,0.20012813,,,0.38532557,0.67788437
16598,AOI-0028,2025-06-11,0.63872190,0.56428293,0.63872190,0.56428293,0.63872190,0.56428293
16613,AOI-0028,2025-06-26,0.55671012,0.62556909,0.77041991,0.67053656,0.55671012,0.67053656
16614,AOI-0028,2025-06-27,0.31177491,0.31077858,0.47634863,0.43927422,0.20363384,0.38825336
16627,AOI-0028,2025-07-10,0.38961486,0.40926955,0.48877450,0.40940104,0.38940913,0.40969692
16630,AOI-0028,2025-07-13,0.27462765,0.26155169,0.27462765,0.27976461,0.27462765,0.27976461
16640,AOI-0028,2025-07-23,0.18608165,0.21226642,0.18608165,0.17954176,0.18608165,0.17954176
16661,AOI-0028,2025-08-13,0.23061309,0.22743261,0.23061309,0.22766387,0.21746397,0.23112807
16687,AOI-0028,2025-09-08,0.12667882,0.09432253,0.07459850,0.07758970,0.10931883,0.08152120
16690,AOI-0028,2025-09-11,0.06434262,0.06787843,0.06434262,0.06787843,0.06434262,0.06787843
16725,AOI-0028,2025-10-16,0.19440204,0.24053967,0.19440204,0.17524410,0.26203632,0.23260649
16737,AOI-0028,2025-10-28,0.19090713,0.19090713,0.19610551,0.19610551,0.19090713,0.19610551
16743,AOI-0029,2025-04-04,0.41226355,0.44155110,0.41226355,0.44155110,0.41226355,0.44155110
16763,AOI-0029,2025-04-24,0.85954096,0.83191062,0.85954096,0.83191062,0.85954096,0.83191062
16808,AOI-0029,2025-06-08,0.67692405,0.59023234,0.67692405,0.59023234,0.67692405,0.59023234
16810,AOI-0029,2025-06-10,0.48009774,0.46927274,0.48009774,0.46927274,0.48009774,0.46927274
16811,AOI-0029,2025-06-11,0.62300372,0.56180291,0.62300372,0.56180291,0.62300372,0.56180291
16813,AOI-0029,2025-06-13,0.32244012,0.34873909,0.32244012,0.34873909,0.32244012,0.34873909
16859,AOI-0029,2025-07-29,0.17538076,0.18814499,0.17538076,0.18814499,0.17538076,0.18814499
16863,AOI-0029,2025-08-02,0.11231800,0.09678236,0.11231800,0.09678236,0.11231800,0.09678236
16880,AOI-0029,2025-08-19,0.11204165,0.10681497,0.11204165,0.10681497,0.11204165,0.10681497
16903,AOI-0029,2025-09-11,0.12697927,0.12592838,0.12697927,0.12592838,0.12697927,0.12592838
16908,AOI-0029,2025-09-16,0.11783486,0.11856244,0.11783486,0.11856244,0.11783486,0.11856244
16973,AOI-0030,2025-04-21,,,,,,
16976,AOI-0030,2025-04-24,,,,,,
17023,AOI-0030,2025-06-10,,,,,,
17081,AOI-0030,2025-08-07,,,,,,
17230,AOI-0031,2010-06-04,,,,,,
17332,AOI-0031,2010-09-14,,,,,0.20447158,0.22040557
17401,AOI-0031,2011-04-23,0.43593534,0.39369176,0.42962298,0.42962298,0.43593534,0.40989559
17449,AOI-0031,2011-06-10,0.41896959,0.39069196,0.44395613,0.44395613,0.41896959,0.43105041
17478,AOI-0031,2011-07-09,0.22832139,0.23984817,0.22300965,0.22300965,0.22832139,0.22300965
17511,AOI-0031,2011-08-11,0.25704609,0.25704609,0.25704609,0.25704609,0.25704609,0.25704609
17518,AOI-0031,2011-08-18,0.21708950,0.21708950,,,0.21708950,
17519,AOI-0031,2011-08-19,,,,,,
17550,AOI-0031,2011-09-19,0.23669094,0.23195459,0.22468809,0.22468809,0.23669094,0.22468809
17597,AOI-0031,2012-04-06,,,,,,
17606,AOI-0031,2012-04-15,,,,,,
17811,AOI-0031,2013-04-07,,,,,,
17843,AOI-0031,2013-05-09,,,,,,
17846,AOI-0031,2013-05-12,,,,,,
17859,AOI-0031,2013-05-25,,,,,,
17877,AOI-0031,2013-06-12,,,,,,
17893,AOI-0031,2013-06-28,,,,,,
17918,AOI-0031,2013-07-23,,,,,,
17939,AOI-0031,2013-08-13,,,,,,
18003,AOI-0031,2013-10-16,,,,,,
18070,AOI-0031,2014-05-23,,,,,,
18101,AOI-0031,2014-06-23,0.25013939,0.24350296,0.25013939,0.25013939,0.25013939,0.25013939
18125,AOI-0031,2014-07-17,0.19157012,0.19067400,0.19157012,0.19157012,0.19157012,0.19157012
18136,AOI-0031,2014-07-28,0.20152614,0.20573290,0.20152614,0.20152614,0.20152614,0.20910596
18141,AOI-0031,2014-08-02,0.17538153,0.17350358,0.17538153,0.17538153,0.17538153,0.17538153
18152,AOI-0031,2014-08-13,0.19786167,0.20306038,0.19786167,0.19786167,0.19786167,0.19961175
18214,AOI-0031,2014-10-14,0.18558697,0.18558697,0.18558697,0.18558697,0.18558697,0.18558697
18405,AOI-0031,2015-09-22,0.20793490,0.21118244,,,0.20793490,
18429,AOI-0031,2015-10-16,0.21696050,0.21696050,,,0.21166012,0.12656319
18444,AOI-0031,2016-04-01,,,,,0.29064320,0.29064320
18460,AOI-0031,2016-04-17,0.43699308,0.43699308,0.56102261,0.56102261,0.44945751,0.44945751
18465,AOI-0031,2016-04-22,0.45248340,0.45248340,0.53671237,0.53671237,0.48362431,0.49527967
18476,AOI-0031,2016-05-03,0.47246977,0.47246977,0.61940403,0.61940403,0.53031214,0.53031214
18497,AOI-0031,2016-05-24,0.47517017,0.47517017,0.58316117,0.58316117,0.51560467,0.52413771
18513,AOI-0031,2016-06-09,0.29615812,0.29615812,,,0.41386962,0.43976286
18516,AOI-0031,2016-06-12,0.37735463,0.37735463,,,0.40003278,0.40422825
18524,AOI-0031,2016-06-20,0.32040756,0.32040756,0.35867277,0.35867277,0.32040756,0.35867277
18529,AOI-0031,2016-06-25,0.30034564,0.30034564,0.32017101,0.32017101,0.30034564,0.32579542
18564,AOI-0031,2016-07-30,0.29181048,0.29181048,,,0.26548781,0.26061810
18692,AOI-0031,2017-05-06,0.68845037,0.66227185,0.68845037,0.66227185,0.68845037,0.66227185
18724,AOI-0031,2017-06-07,0.58234066,0.58234066,0.58234066,0.58234066,0.58234066,0.58234066
18781,AOI-0031,2017-08-03,,,,,,
18791,AOI-0031,2017-08-13,0.21152484,0.22508828,0.21152484,0.22508828,0.21152484,0.22508828
18813,AOI-0031,2017-09-04,0.21752492,0.21752492,0.21752492,0.21752492,0.21752492,0.21752492
18831,AOI-0031,2017-09-22,0.21838762,0.21838762,0.21838762,0.21838762,0.21838762,0.21838762
18892,AOI-0031,2018-04-23,,,,,0.61991695,0.61430580
18901,AOI-0031,2018-05-02,,,,,,
18917,AOI-0031,2018-05-18,,,,,,
18933,AOI-0031,2018-06-03,,,,,,
18940,AOI-0031,2018-06-10,,,,,0.43241318,0.47133039
18941,AOI-0031,2018-06-11,,,,,,
18973,AOI-0031,2018-07-13,,,,,,
19028,AOI-0031,2018-09-06,,,,,,
19036,AOI-0031,2018-09-14,,,,,0.20675550,0.22644429
19059,AOI-0031,2018-10-07,,,,,0.15852617,0.16888330
19064,AOI-0031,2018-10-12,,,,,,
19092,AOI-0031,2019-04-10,0.50806855,0.50806855,0.58492651,0.58492651,0.50806855,0.58492651
19157,AOI-0031,2019-06-14,,,,,,
19165,AOI-0031,2019-06-22,0.27872442,0.27872442,0.27910483,0.27910483,0.27872442,0.27910483
19182,AOI-0031,2019-07-09,,,,,,
19196,AOI-0031,2019-07-23,,,,,,
19212,AOI-0031,2019-08-08,0.32222827,0.32222827,0.29164743,0.29164743,0.32222827,0.29164743
19235,AOI-0031,2019-08-31,0.25383151,0.25383151,0.26977551,0.26977551,0.25383151,0.26977551
19252,AOI-0031,2019-09-17,0.26494207,0.26494207,0.26958316,0.26958316,0.26494207,0.26958316
19268,AOI-0031,2019-10-03,0.31256464,0.31256464,0.28048884,0.28048884,0.31256464,0.28048884
19275,AOI-0031,2019-10-10,0.34319769,0.34319769,0.27397822,0.27397822,0.34319769,0.27397822
19277,AOI-0031,2019-10-12,0.20747321,0.20747321,0.20747321,0.20747321,0.20747321,0.20747321
19287,AOI-0031,2019-10-22,0.33996880,0.33996880,0.33996880,0.33996880,0.33996880,0.33996880
19308,AOI-0031,2020-04-13,0.46453827,0.46453827,0.46453827,0.46453827,0.46453827,0.46453827
19357,AOI-0031,2020-06-01,0.44340558,0.44340558,0.44340558,0.44340558,0.44340558,0.44340558
